,joule_builtin,joule_custom
0,"[0.36, 0.41, 0.39, 0.38, 0.39]","[0.38, 0.39, 0.39, 0.39, 0.38]"
1,"[0.38, 0.41, 0.39999999999999997, 0.36, 0.36]","[0.41, 0.38, 0.38, 0.38, 0.39]"
2,"[0.37, 0.35, 0.37, 0.38, 0.36]","[0.38, 0.38, 0.38, 0.38, 0.37]"
3,"[0.41, 0.41, 0.41, 0.41, 0.41]","[0.43, 0.44, 0.44, 0.45999999999999996, 0.43]"
4,"[0.86, 0.88, 0.89, 0.88, 0.86]","[1.1800000000000002, 1.12, 1.1600000000000001, 1.1300000000000001, 1.1500000000000001]"
