,joule_builtin,joule_custom
0,"[0.33999999999999997, 0.38, 0.38, 0.39, 0.38]","[0.36, 0.38, 0.36, 0.39, 0.39]"
1,"[0.36, 0.38, 0.35, 0.39, 0.36]","[0.39, 0.38, 0.38, 0.36, 0.41]"
2,"[0.37, 0.36, 0.38, 0.38, 0.37]","[0.38, 0.38, 0.38, 0.38, 0.38]"
3,"[0.45999999999999996, 0.44, 0.45999999999999996, 0.43, 0.41]","[0.45999999999999996, 0.45999999999999996, 0.47, 0.45999999999999996, 0.45999999999999996]"
4,"[0.88, 0.88, 0.9, 0.89, 0.9099999999999999]","[1.08, 1.08, 1.08, 1.1, 1.1300000000000001]"
