,joule_builtin,joule_custom
0,"[0.36, 0.36, 0.36, 0.38, 0.35]","[0.36, 0.38, 0.38, 0.39999999999999997, 0.41]"
1,"[0.36, 0.36, 0.38, 0.36, 0.36]","[0.38, 0.38, 0.38, 0.36, 0.38]"
2,"[0.36, 0.36, 0.36, 0.36, 0.38]","[0.38, 0.35, 0.38, 0.38, 0.39]"
3,"[0.37, 0.41, 0.39999999999999997, 0.36, 0.36]","[0.39, 0.39, 0.36, 0.38, 0.38]"
4,"[0.36, 0.36, 0.36, 0.36, 0.36]","[0.36, 0.36, 0.36, 0.36, 0.36]"
