,joule_builtin,joule_custom
0,"[0.38, 0.36, 0.36, 0.39, 0.38]","[0.41, 0.39, 0.44, 0.38, 0.36]"
1,"[0.41, 0.38, 0.37, 0.38, 0.37]","[0.38, 0.36, 0.39, 0.41, 0.38]"
2,"[0.41, 0.41, 0.41, 0.39, 0.38]","[0.41, 0.41, 0.38, 0.41, 0.41]"
3,"[0.43, 0.44, 0.45999999999999996, 0.45999999999999996, 0.43]","[0.45999999999999996, 0.43, 0.47, 0.44, 0.47]"
4,"[1.05, 1.09, 1.06, 1.07, 1.07]","[1.06, 1.06, 1.07, 1.07, 1.06]"
