,joule_builtin,joule_custom
0,"[0.35, 0.36, 0.36, 0.36, 0.35]","[0.36, 0.32, 0.36, 0.36, 0.35]"
1,"[0.36, 0.35, 0.38, 0.36, 0.35]","[0.36, 0.36, 0.38, 0.37, 0.36]"
2,"[0.39, 0.36, 0.36, 0.36, 0.38]","[0.36, 0.36, 0.36, 0.38, 0.35]"
3,"[0.36, 0.41, 0.38, 0.36, 0.38]","[0.36, 0.39, 0.38, 0.36, 0.36]"
4,"[0.37, 0.36, 0.39, 0.38, 0.35]","[0.36, 0.36, 0.38, 0.38, 0.39999999999999997]"
