,joule_builtin,joule_custom
0,"[0.39, 0.36, 0.38, 0.36, 0.36]","[0.38, 0.39, 0.38, 0.38, 0.38]"
1,"[0.39999999999999997, 0.38, 0.39999999999999997, 0.41, 0.37]","[0.35, 0.37, 0.36, 0.39, 0.39]"
2,"[0.39, 0.39, 0.41, 0.41, 0.38]","[0.38, 0.41, 0.38, 0.38, 0.38]"
3,"[0.45999999999999996, 0.43, 0.43, 0.45, 0.44]","[0.45999999999999996, 0.43, 0.47, 0.43, 0.45999999999999996]"
4,"[1.08, 1.07, 1.1, 1.1, 1.1]","[1.04, 1.07, 1.07, 1.1, 1.04]"
