,joule_builtin,joule_custom
0,"[0.38, 0.36, 0.36, 0.37, 0.36]","[0.36, 0.36, 0.33999999999999997, 0.36, 0.36]"
1,"[0.36, 0.36, 0.38, 0.36, 0.38]","[0.36, 0.36, 0.37, 0.36, 0.39]"
2,"[0.41, 0.38, 0.41, 0.38, 0.38]","[0.41, 0.38, 0.41, 0.38, 0.37]"
3,"[0.43, 0.41, 0.45999999999999996, 0.44, 0.44]","[0.44, 0.45999999999999996, 0.45999999999999996, 0.43, 0.47]"
4,"[0.89, 0.9099999999999999, 0.9, 0.9199999999999999, 0.9199999999999999]","[1.06, 1.08, 1.05, 1.04, 1.04]"
