,joule_builtin,joule_custom
0,"[0.41, 0.38, 0.37, 0.35, 0.36]","[0.35, 0.38, 0.38, 0.39, 0.35]"
1,"[0.38, 0.36, 0.35, 0.36, 0.41]","[0.36, 0.35, 0.36, 0.38, 0.36]"
2,"[0.38, 0.38, 0.39, 0.38, 0.38]","[0.38, 0.41, 0.38, 0.41, 0.41]"
3,"[0.41, 0.44, 0.41, 0.43, 0.41]","[0.43, 0.43, 0.44, 0.43, 0.44]"
4,"[0.9199999999999999, 0.94, 0.9, 0.9199999999999999, 0.9]","[1.07, 1.12, 1.06, 1.06, 1.07]"
