,joule_builtin,joule_custom
0,"[0.36, 0.36, 0.36, 0.39, 0.33999999999999997]","[0.37, 0.36, 0.36, 0.36, 0.39]"
1,"[0.36, 0.36, 0.36, 0.33999999999999997, 0.38]","[0.39, 0.36, 0.38, 0.36, 0.36]"
2,"[0.36, 0.38, 0.38, 0.36, 0.35]","[0.41, 0.36, 0.38, 0.38, 0.38]"
3,"[0.38, 0.36, 0.36, 0.38, 0.36]","[0.39, 0.39, 0.39, 0.39, 0.39]"
4,"[0.44, 0.44, 0.44, 0.44, 0.44]","[0.6300000000000001, 0.6300000000000001, 0.6300000000000001, 0.6300000000000001, 0.6300000000000001]"
